local_authority,properties_returned_k,lpt_collected_€m
Carlow,23,3.3
Cavan,30.8,3.8
Clare,53.2,8.6
Cork City,53.8,18.2
Cork County,167.1,26.1
Donegal,72.8,9.6
Dublin City,229.6,59.1
Dun Laoghaire Rathdown,83.7,37.3
Fingal,104,27
Galway City,32.3,7.2
Galway County,72.1,12.2
Kerry,68.7,12.5
Kildare,79,17.1
Kilkenny,36.9,6.3
Laois,30.7,4.4
Leitrim,16.2,1.9
Limerick City and County,79.1,14
Longford,17.1,2.2
Louth,50.2,7.7
Mayo,59.4,9.1
Meath,68.8,13.5
Monaghan,23,3.3
Offaly,28.8,4.1
Roscommon,28.1,3.5
Sligo,30.5,4.5
South Dublin ,98.2,21.4
Tipperary,65.5,10.2
Waterford City and County,51.1,8.2
Westmeath,35.9,5.3
Wexford,64.6,11.3
Wicklow,53,14.1
